"source","id","Title","taxon","file","author","post_date","size","size_raw","type","NonSpecimen","Date","Time","Duration"
"unp","ewb-askham-site1-20220716_133000","ewb-askham-site1 2022-07-16 1330","","ewb-askham-site1/20220716_133000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1330","60"
"unp","ewb-askham-site1-20220716_134000","ewb-askham-site1 2022-07-16 1340","","ewb-askham-site1/20220716_134000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1340","60"
"unp","ewb-askham-site1-20220716_135000","ewb-askham-site1 2022-07-16 1350","","ewb-askham-site1/20220716_135000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1350","60"
"unp","ewb-askham-site1-20220716_140000","ewb-askham-site1 2022-07-16 1400","","ewb-askham-site1/20220716_140000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1400","60"
"unp","ewb-askham-site1-20220716_141000","ewb-askham-site1 2022-07-16 1410","","ewb-askham-site1/20220716_141000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1410","60"
"unp","ewb-askham-site1-20220716_142000","ewb-askham-site1 2022-07-16 1420","","ewb-askham-site1/20220716_142000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1420","60"
"unp","ewb-askham-site1-20220716_143000","ewb-askham-site1 2022-07-16 1430","","ewb-askham-site1/20220716_143000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1430","60"
"unp","ewb-askham-site1-20220716_144000","ewb-askham-site1 2022-07-16 1440","","ewb-askham-site1/20220716_144000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1440","60"
"unp","ewb-askham-site1-20220716_145000","ewb-askham-site1 2022-07-16 1450","","ewb-askham-site1/20220716_145000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1450","60"
"unp","ewb-askham-site1-20220716_150000","ewb-askham-site1 2022-07-16 1500","","ewb-askham-site1/20220716_150000.WAV","Urban Nature Project @ NHM","2022-07-16","",NA,"audio/x-wave","Soundscape","2022-07-16","1500","60"
